Shift / Day,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
BWW,,175,194,162,151,193,
Supervisor,193,174,174,174,151,193,184
Dispatch,176,193,182,151,162,184,170
Early Escort,170,176,153,175,186,165,162
Early Escort_2,,162,162,165,170,170,194
Early Escort_3,,,193,162,193,,
Blackwell,197,153,196,170,182,151,165
Late Escort,184,196,194,188,188,182,193
Late Escort_2,151,188,165,182,194,162,196
Late Escort_3,,,151,,,,
Housing IC,196,197,175,153,165,194,151
