Shift / Day,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
UHall,,162,175,153,194,153,
BWW,,170,170,194,193,165,
Supervisor,193,193,151,151,184,,
Dispatch,194,151,162,193,151,184,176
Early Escort,165,175,192,165,170,170,193
Early Escort_2,,192,165,162,175,165,
Blackwell,176,176,188,192,188,193,151
Late Escort,162,188,184,175,194,151,188
Late Escort_2,175,194,193,,,175,
Housing IC,192,162,175,153,165,153,184
